ngroup ra dec z Delta ngal pval_ds ind pval_sw pval_sf pval_ad pval_cvm pval_lillie pval_pearson Delta2 mag_max id_mer
11131291 139.471275219016 14.1692760992739 0.0752112460492754 1.33014566293354 69 0.0666666666666667 5 0.00819561665202262 0.0233413577397617 0.0128638630832407 0.0298955220423931 0.134539271091837 0.345977014021409 1.38266320586762 15.4522790909 1
11133168 156.295475926891 28.0236422111241 0.0656603620344828 1.40614075966066 58 0.0333333333333333 -1 0.248484979870066 0.370950404524229 0.166217327013029 0.140182818493744 0.152071998052646 0.128232495459308 1.47123398818754 14.8873796463 1
11139294 200.080341286853 11.6452085547219 0.0505007124657534 1.03773188165379 73 0.4 -1 0.0137416196288687 0.0318834117142395 0.0086996272217002 0.0103002269946544 0.0316363830140778 0.16384988305453 0.9982679181082 14.5962085724 1
11139312 200.689777721061 11.1665125760068 0.0505560911681818 1.21393283855184 44 0 6 0.132636796072847 0.276696356447422 0.194481112146223 0.21641386010865 0.35411631571492 0.648870060200015 1.17922796684679 14.7614631653 1
11155767 149.867141977948 57.43174146017 0.0454172499516667 1.43435100816526 60 0.0333333333333333 -1 0.24646975255752 0.37559120006294 0.269575560417818 0.30989693958472 0.557004712095534 0.565658248623945 1.56639082178553 15.1920566559 1
11157395 154.094752986261 12.9217927979268 0.0184400488243902 1.7346854153163 41 0 7 0.199820918573109 0.257178573820912 0.255161058517203 0.235711365290478 0.327114725647156 0.735840278114542 1.5553445881072 14.5327882767 1
11160859 198.196997506275 32.8009564838619 0.0141771905269841 1.50474407978806 63 0.0333333333333333 6 0.0200553679715139 0.029022116369843 0.007354435969112 0.00649334088782677 0.00637566538037436 0.15550402610494 1.53787103491854 14.5060071945 1
11161853 258.17339505494 33.9033285825298 0.0261042672076336 1.3252812473224 131 0.1 -1 0.825417936158882 0.93895459497097 0.946996686654088 0.937597619239904 0.913095832812458 0.983436391519386 1.37243978881958 14.5881881714 1
111730 47.6180760365623 -1.10894899547925 0.0234842643471698 0.760337014100456 53 0.866666666666667 -1 0.0233049868560186 0.0580202308782575 0.02754780076768 0.0461127126116861 0.064440390558112 0.0974988303754926 0.893973407891285 14.9622602463 0
1112243 353.833366394043 -10.8849206187477 0.0315579318636364 1.15184730272849 44 0.233333333333333 -1 0.697154214965537 0.85516768259982 0.779416508380067 0.76305771603256 0.792272079452977 0.438406346365658 1.17549910875518 14.5478305817 0
1113221 33.147445523002 -9.72992474692449 0.0531576327530612 1.15189573438318 49 0.3 -1 0.208425716936618 0.33646904584397 0.238861102273795 0.300369726907233 0.434115912984369 0.650001753960769 1.03992544320184 15.2515621185 0
1114719 343.112887382512 -8.59301686286875 0.047462031121875 1.32282359545368 32 0.0333333333333333 4 0.125524226327784 0.245712091913712 0.182232072236872 0.278857883392008 0.411393744600389 0.0752352461465122 1.56801235565832 15.1362943649 0
1114796 358.538933332577 -0.416673536388372 0.0437086049534884 0.896146530704638 43 0.7 -1 0.52367197200694 0.515698122805662 0.391911893495668 0.304639836267041 0.255784010715512 0.338786152335092 1.09037277258316 14.8517045975 0
1115771 46.1146761986532 0.707213837293548 0.0795246617435484 1.22798974686498 62 0.0333333333333333 -1 0.145072750013358 0.322131767120053 0.354988366009931 0.490807601551706 0.368658397045414 0.632780884872307 1.39311166570562 15.1649436951 0
1119715 195.498516685084 30.4927265769605 0.120536157365789 1.87679080163899 38 0 7 0.934419211304935 0.838122452796213 0.918240776361195 0.891528903394023 0.543897764536887 0.841076559834538 1.76801011294896 15.2327013016 0
11112527 31.5244228839875 13.134748077395 0.0899599256 1.12782217824357 40 0.233333333333333 -1 0.747382279201472 0.679019781344323 0.652443860781987 0.67758779691996 0.553107259634659 0.663145672106677 1.18277096122714 15.2933835983 0
11119613 197.161129450388 38.5310087042322 0.0986317797694915 1.16985097695867 59 0.2 -1 0.0229107904757201 0.0566613022018813 0.0156377470968794 0.0171399281465133 0.10629172625903 0.149697820468212 1.40916122494802 16.0252189636 0
11121105 225.968142778441 7.45101503225385 0.104459563702564 1.29434413914765 39 0.0333333333333333 -1 0.246972021111504 0.470355280730374 0.375954755198328 0.349555347631906 0.278978272736714 0.837203281845732 1.61959992550819 15.2666711807 0
11122803 140.654740089595 17.4218663503977 0.0943490228627907 1.29591996058482 43 0.0333333333333333 6 0.930576422670712 0.972763585511542 0.907554719246229 0.805814121131815 0.842842482948865 0.699625219953894 1.49089679491984 15.536450386 0
11126385 166.019288283133 29.8293488575788 0.0772356340788462 2.08513353247037 52 0 5 0.0499182045977193 0.0859950085342087 0.0496421374407753 0.0621317991845853 0.381310657570909 0.105733049590722 1.93655496107554 14.9609870911 0
11130177 204.442906269277 38.6114855916895 0.0831360894557895 1.56361992814269 190 0 -1 0.525829272896766 0.530752684750077 0.230325157920813 0.166866223656007 0.249248670904974 0.0354079000014907 1.55675268911541 15.0473356247 0
11132432 207.554418135665 35.0889566382571 0.0781255204010204 1.33935123527876 98 0 -1 0.0500483916580873 0.117776430629216 0.0428964315350617 0.0321255182456519 0.0401120619365736 0.41927677139517 1.36640332348373 15.441570282 0
11133310 151.120247550639 25.5114354258022 0.0684277614543478 1.32650164578294 46 0.0666666666666667 6 0.129282892797628 0.307410560778065 0.38006863346911 0.648648770793423 0.242151629082175 0.728555650874608 1.41002929597292 15.2118530273 0
11137808 148.369367391756 26.0915829686832 0.0613547030980198 1.69833900732724 101 0 5 0.04982373198624 0.113298606734335 0.0540750520555286 0.0551082168033007 0.121001839247684 0.00443478520938156 1.69833900732724 15.0297374725 0
11140171 141.787852360654 23.9085626748923 0.0582395232107692 2.17547658410607 65 0 7 0.00846688765625601 0.0148110492104561 0.0024421786830942 0.00134988317474272 0.000930615140862955 0.00872404500552579 2.15060418076343 14.9276428223 0
11140289 133.610886976451 11.11071489122 0.0630059109822222 1.18935017813948 45 0.133333333333333 6 0.0104606212554078 0.0192798827897235 0.0131624185194868 0.0197203829380739 0.0548733325532192 0.112067436825 1.29383195113774 15.0715007782 0
11142144 149.118239021302 26.2552200555837 0.05374982528625 1.29879340714922 80 0.133333333333333 5 0.00318194680837423 0.00815188102147587 0.0022551214809109 0.00394938081580646 0.0335777871809134 0.0308064278667287 1.40209648202106 14.9476280212 0
11142659 128.741804599759 13.3758984506063 0.071294625525 0.873825276367194 32 0.433333333333333 -1 0.548323432628588 0.691023793556403 0.494923641248468 0.446433016090183 0.621260254020509 0.623387627749582 0.944143044354825 14.6801156998 0
11144001 194.797439575197 42.9748418653432 0.0587015675567568 1.09762716192975 37 0.4 6 0.94087225206355 0.843684226046718 0.871820051719169 0.760333123451661 0.667579072534449 0.977415323440198 1.35338489837624 15.4131383896 0
11144258 174.064357939219 52.1617041996595 0.0589061429119048 0.962934383019342 42 0.333333333333333 -1 0.174436119644404 0.367641462618673 0.442034535332004 0.666072511894666 0.864947986295785 0.860389583898134 1.04905788733003 15.2094020844 0
11144618 145.486117738664 29.0595604289758 0.0518930001242424 0.799987985781041 33 0.566666666666667 -1 0.415356972714276 0.645175564682435 0.545332850560475 0.592052841070484 0.497740651480848 0.627593008796523 1.21564825524471 14.6691904068 0
11145278 248.534984854758 14.5035978583395 0.109926186160465 1.44652059700934 43 0 -1 0.28963944791373 0.370408899235099 0.689984242678591 0.919650914091222 0.852376713999175 0.965994762344864 1.88786790852095 14.8681077957 0
11145651 243.068149869406 9.26442570156825 0.0796817146126984 1.62965559481303 63 0 7 0.0610927661850348 0.0499618601851654 0.109727102888655 0.140608473592506 0.242199493792862 0.209925815712979 1.68748706419664 15.0091381073 0
11146323 206.334408846767 65.9285800818364 0.104069363209091 1.20619855979076 33 0.1 -1 0.348763367301822 0.430212072690106 0.350283725390728 0.377127788944078 0.147851278367597 0.189506952958828 1.64595005957105 15.8162250519 0
11148438 225.468126873637 56.4607875735163 0.0868720696395349 1.06990564517026 43 0.3 -1 0.0488577934859306 0.0816471124145924 0.0220578313527311 0.0246342800725279 0.0286903001315467 0.0224933263979056 1.31663910649555 14.8720655441 0
11148479 225.345290879066 43.7396098637932 0.0674122877576271 1.05253276005932 59 0.3 -1 0.156187019029806 0.219929559504339 0.0813256250577993 0.0709404807545575 0.0184697533857211 0.0162800608628449 1.17528842302337 15.2623281479 0
11148628 221.409352736034 2.61563961071591 0.0438246134318182 1.15220843511996 44 0.0666666666666667 -1 0.169219010964473 0.373280502701469 0.473557099254367 0.721759597710878 0.693500985140544 0.272834324938061 1.06852702348678 15.1421909332 0
11148761 209.69245948792 11.8921329498375 0.03991837502 0.620343167694214 40 1 -1 0.674077907404886 0.757345884603444 0.660914176468352 0.677733560403132 0.753143578366491 0.783358489819263 0.849461184020133 14.6374588013 0
11149126 181.274894714359 6.6449854821 0.03284331243125 1.07947682261551 32 0.266666666666667 -1 0.341212030293207 0.490622983941859 0.343192324045875 0.307690891791503 0.617268814659708 0.699985835878628 1.45453985490707 14.75004673 0
11150777 226.808892343557 11.5490226558627 0.0461187453882353 1.21475135875593 51 0.166666666666667 -1 0.696779057766417 0.757391466609842 0.671500974968398 0.669458643457873 0.923972931776528 0.330868078635946 1.3219811918283 14.7598390579 0
11151216 193.491677676925 -3.43474974351765 0.0304344118367647 1.4302276679197 68 0.0333333333333333 -1 0.0285721260298954 0.0451045669254751 0.051839892202843 0.0884909247803677 0.0213960597643263 0.104959445682573 1.52989151329864 14.6283254623 0
11151774 138.838950307747 14.70943237605 0.0360042104815789 0.833090652857359 38 0.9 5 0.988140939757256 0.980764596592533 0.989112311592774 0.992434925713238 0.997668540588878 0.970779919279433 0.963203028344332 14.6201324463 0
11153976 128.977612304691 56.4313594394267 0.0671861329 1.21458138364397 45 0.3 5 0.108019390080781 0.138068518564491 0.140782369868854 0.137377977759072 0.129684964589034 0.863712142619159 1.20176221269722 15.7143278122 0
11155051 231.728555567121 9.10284345289706 0.0414798236794118 0.740648681015219 34 0.8 -1 0.379935181158873 0.649236925919494 0.645831685349035 0.702717672908868 0.719104800827852 0.294501709859943 0.875790382520891 14.6350812912 0
11155197 212.8157155654 2.97619218685882 0.0298598235529412 0.86596851913608 34 0.666666666666667 -1 0.985817023705558 0.988765144393091 0.987165534103001 0.98203481969189 0.975052118979083 0.919698602928606 1.14305946638957 14.5543937683 0
11155291 202.980441614909 15.0286705693616 0.0252825123236453 1.42605296880985 203 0 -1 0.305735873656405 0.478552883127113 0.831191847022106 0.939735193442808 0.603726659370703 0.390726603120114 1.44663613023989 14.5549640656 0
11157322 157.979830741885 15.1801224350938 0.0182285179267857 1.62722002193932 112 0 8 0.0631728882820779 0.130331167118223 0.128520913427759 0.213448629874549 0.405477724175716 0.141130880267058 1.62722002193932 14.5213575363 0
11158521 213.431496115296 40.5334560730868 0.0240414706602941 1.5999858907493 68 0 7 0.516958877612173 0.696192689313858 0.506282613431046 0.476296159837467 0.408307165354607 0.565443118624987 1.52032831584672 14.5043411255 0
