ngroup ra dec z ngal color mag_max gap_mag Delta Delta2 pval_ds ind pval_sw pval_sf pval_ad pval_cvm pval_lillie pval_pearson id_mer
33337225 178.910899692108 41.4257968266861 0.0937516113944444 36 0.68551858265 15.3998088837 0.761100768999999 1.46787407624054 1.35067668247231 0.03 2 0.626035494752824 0.723929971600684 0.506033578501963 0.453309691029729 0.230677049899922 0.147349183928148 0
33337779 211.524440383905 13.134748077395 0.0899599256 40 0.696000504495 15.2933835983 0.744803428699999 1.17232550686868 1.17480540522287 0.21 2 0.747382279201472 0.679019781344323 0.652443860781987 0.67758779691996 0.553107259634659 0.663145672106677 0
33350204 37.0271078109725 1.2069141149475 0.08007902503 40 0.6989089965775 15.8195447922 0.158027648899999 1.35192085635483 1.3461858440233 0.02 2 0.642729675514881 0.821946749083989 0.815132761846906 0.813402457821313 0.565994556103254 0.783358489819263 0
33351424 165.552013299408 25.6704617524846 0.121566820605128 39 0.669536272669231 15.7552471161 0.0550184250000001 1.02158584748087 1.04958412530195 0.24 2 0.512593457307611 0.752004567888642 0.650770697572304 0.59159935025115 0.515035536293673 0.423190081126843 0
33358973 316.964887903091 0.849253261347872 0.0210195319085106 94 0.678688120337234 14.5115022659 0.0755023956999992 2.05561316430619 2.00521202338585 0 2 0.777448843888464 0.772502672245177 0.726244848821717 0.696752685184399 0.558075423821843 0.490288354841314 0
4445577 228.599419487842 45.4658958646972 0.0145225833555556 36 0.643209510383333 14.5575151443 0.0251893998000003 0.84204592392671 1.04381285290828 0.39 2 0.0201091528341914 0.0581606209165342 0.0275342484327844 0.0386839056748166 0.130951463794585 0.3695666683961 1
4447118 219.988608928644 37.8814216382545 0.0244167272121212 99 0.678411165867677 14.5316858292 0.00257587429999973 1.50740825421746 1.49971438028379 0.01 2 0.319817051001985 0.524343785760213 0.49338873083174 0.565099221583839 0.331575086603883 0.703345252592817 1
4447318 319.087272043972 0.785786447570787 0.0220016066146067 89 0.644541526106742 14.5241107941 0.0895128249999999 2.11267181189288 2.06992285045287 0 2 0.799139436081915 0.895893620460399 0.80729597958871 0.752192071482184 0.57345562286479 0.70084334772028 1
44410156 221.454068175752 43.6011190169923 0.0431170086581197 117 0.663702932182051 14.814365387 0.219174384999999 1.36789130075401 1.36789130075401 0 2 0.0339724536977695 0.104998323072762 0.215343162465925 0.393685794041506 0.351184139365704 0.75173650457246 1
44454661 134.992155121585 13.6203149237317 0.0190603414585366 41 0.703844000658537 14.530008316 0.2797632218 0.936497577187225 1.02293332454868 0.39 2 0.239212329472945 0.396400366261884 0.308133981298417 0.338964961644133 0.558760550576504 0.241698924130977 1
44456393 137.728577108941 17.095826163014 0.0188646322955882 136 0.684648576899265 14.5174999237 0.0620450973999986 1.47929945856595 1.51030342430395 0 2 0.022187768871028 0.0629132328055504 0.0450255949465018 0.0561775392712481 0.0342070211978912 0.28684433886127 1
44461038 178.791715660873 52.6007304288898 0.0789586529163265 49 0.688281857236735 14.7036886215 0.5255260468 1.25704580733081 1.3066320520417 0.07 2 0.346366103922333 0.539319696175377 0.623416227482691 0.744848615843594 0.822506661562257 0.840599597903 1
4441651 183.099297384613 47.1605088687621 0.0290453007582524 103 0.685309826745631 14.6082754135 0.164254188600001 1.7455506356216 1.7455506356216 0 2 0.0329689822300912 0.0543219557290728 0.135394076423562 0.256646580346386 0.255006874658658 0.683655345739592 0
