ngroup ra dec z ngal color mag_max gap_mag Delta Delta2 pval_ds ind pval_sw pval_sf pval_ad pval_cvm pval_lillie pval_pearson id_mer
8889819 233.972129433842 13.8803749892653 0.0256786864508475 118 0.694821592112712 14.5530729294 0.0163278579999986 1.67534499324043 1.67534499324043 0 2 0.21705896334006 0.255129088853877 0.0740639025561841 0.0489695632204204 0.0228984580108252 0.211296049817768 1
22223897 122.272982039551 15.2280117070887 0.0840659622358491 53 0.650706938975471 15.732003212 0.640574455200001 1.99147289098966 1.80689334231029 0 2 0.42356195673547 0.459154788925561 0.41522505281454 0.32676416355922 0.37231069081589 0.715030040772683 0
66623125 133.396874577741 17.9246300391472 0.0779258613528302 159 0.704868520580503 14.8657398224 0.376802444399999 1.45895511255142 1.42286673738738 0 2 0.485987984772947 0.691312095961178 0.778663909566286 0.856824320873159 0.930340766089618 0.563508572914969 0
22260668 189.87928645983 56.9628214004991 0.0251403761165138 109 0.702365227797248 14.5410690308 0.00062656400000094 1.40369052221629 1.40369052221629 0 2 0.00886395220104256 0.0283654594782702 0.0484023696810475 0.158376994200754 0.381917569129512 0.210045034152771 1
7773693 131.409605238172 15.4053168031861 0.0254166390083333 36 0.729725466833333 14.9760942459 0.050601005599999 0.985717190470606 1.03682890466156 0.38 2 0.280154380203336 0.269079816655202 0.160285756442959 0.162716738596498 0.26176336482548 0.320847198862134 0
4442784 185.806559499098 29.256948725385 0.0645458163683333 60 0.722302405045 15.0585680008 0.5917472839 0.709573505197193 0.743362957448181 0.98 2 0.110302638186206 0.236680252979609 0.209458039535671 0.294862475104865 0.309206472076524 0.215273896422628 0
88812536 224.701179250078 48.3092344919833 0.0566835499683333 60 0.712484757113333 15.5579948425 0.0969676972000002 1.54232214511662 1.52118852011407 0.01 2 0.214482049361887 0.245555629304974 0.17368177307857 0.206469899378492 0.25221960352961 0.41418154152825 0
7774812 214.879079599852 36.319857675523 0.0294867541704918 61 0.6881679785 14.5542211533 0.0969533919999996 1.07269876902203 1.05616997191781 0.37 2 0.0522986832731326 0.0879362684548224 0.0353697922331477 0.0276466582412582 0.00324046886666774 0.13449377253505 0
11154798 239.307378524382 35.2053739107538 0.0622425640102564 39 0.729121403823077 15.2705860138 0.4792747497 1.2181070988536 1.22750525956873 0.09 2 0.0872103987088814 0.208093559947929 0.181238906333358 0.212394197685777 0.379935574695731 0.718232754702372 0
44413137 233.28030987321 25.9936106049019 0.0354760232785047 214 0.710906893293925 14.5233802795 0.00117492680000097 1.37643561592839 1.42568007791075 0 2 0.134990895819877 0.297333298476378 0.398911692774065 0.54049625716878 0.626198934245922 0.722251863705308 0
11146099 218.429108315326 8.6308704741383 0.0498343401808511 47 0.716779769721276 14.6678562164 0.3921794892 1.00659491630545 1.23725078996792 0.31 2 0.129138603231447 0.27309809203509 0.280734539011577 0.380253108263931 0.621275694938711 0.843048977259159 0
66610453 117.54398328204 40.1843510117581 0.0248954417813953 43 0.659592140548837 14.5290307999 0.433114051800001 1.32126384116835 1.39799554751153 0.09 2 0.281342869484835 0.319767658826854 0.313463879478663 0.312559422817645 0.540725954017797 0.382107835222041 0
66618480 126.977281624929 37.3437588283029 0.0628861994571429 35 0.712265232625715 15.1108293533 0.392891883900001 0.950000377102707 0.966957282128267 0.25 2 0.0705207189819284 0.151626521134997 0.0761821981186497 0.10069480893691 0.206307251717529 0.0233508927164491 0
2226849 153.623425533897 5.90349470940789 0.0322678682710526 38 0.672978852907895 14.5025644302 0.125272750900001 1.10996014174067 1.27949765313409 0.28 2 0.0690831608328414 0.087273520778969 0.0892375393992449 0.114757805990412 0.119714005097302 0.153893793015389 0
22247946 228.035552653864 13.9048603950638 0.035763191412766 47 0.696203333257447 14.7327890396 0.0383138656999993 1.1387807782558 1.18314215148238 0.14 2 0.17493650221701 0.286088724807323 0.15726302354192 0.149376983832132 0.315888860138659 0.542235907390616 0
