ngroup ra dec z ngal color mag_max gap_mag Delta Delta2 pval_ds ind pval_sw pval_sf pval_ad pval_cvm pval_lillie pval_pearson id_mer
11131291 139.471275219016 14.1692760992739 0.0752112460492754 69 0.714358758237681 15.4522790909 0.134166717500001 1.22759742123158 1.16983454932014 0.07 2 0.00819561665202262 0.0233413577397617 0.0128638630832407 0.0298955220423931 0.134539271091837 0.345977014021409 1
11133168 156.295475926891 28.0236422111241 0.0656603620344828 58 0.710182436581034 14.8873796463 0.6485395432 1.31930130524085 1.42609803858326 0.01 2 0.248484979870066 0.370950404524229 0.166217327013029 0.140182818493744 0.152071998052646 0.128232495459308 1
11139294 200.080341286853 11.6452085547219 0.0505007124657534 73 0.704930501439726 14.5962085724 0.0503578186000002 1.01719610919552 1.08600225446171 0.38 2 0.0137416196288687 0.0318834117142395 0.0086996272217002 0.0103002269946544 0.0316363830140778 0.16384988305453 1
11139312 200.689777721061 11.1665125760068 0.0505560911681818 44 0.703037738795455 14.7614631653 0.228805542 1.65215215779549 1.41288110424729 0 2 0.132636796072847 0.276696356447422 0.194481112146223 0.21641386010865 0.35411631571492 0.648870060200015 1
11155767 149.867141977948 57.43174146017 0.0454172499516667 60 0.740857060743333 15.1920566559 0.1878490448 1.50453392426494 1.45954326708325 0 2 0.24646975255752 0.37559120006294 0.269575560417818 0.30989693958472 0.557004712095534 0.565658248623945 1
11157395 154.094752986261 12.9217927979268 0.0184400488243902 41 0.610809047048781 14.5327882767 0.0475111006999995 1.67415735651363 1.38256761508839 0.01 2 0.199820918573109 0.257178573820912 0.255161058517203 0.235711365290478 0.327114725647156 0.735840278114542 1
11160859 198.196997506275 32.8009564838619 0.0141771905269841 63 0.643271537053968 14.5060071945 0.233415603699999 1.30182669393092 1.28881927638932 0.15 2 0.0200553679715139 0.029022116369843 0.007354435969112 0.00649334088782677 0.00637566538037436 0.15550402610494 1
11161853 258.17339505494 33.9033285825298 0.0261042672076336 131 0.721081609942748 14.5881881714 0.132398605299999 1.34460759041556 1.35834510083748 0 2 0.825417936158882 0.93895459497097 0.946996686654088 0.937597619239904 0.913095832812458 0.983436391519386 1
111730 47.6180760365623 -1.10894899547925 0.0234842643471698 53 0.700761597116981 14.9622602463 0.0132350921000004 0.722667886928703 0.776942869983824 0.95 2 0.0233049868560186 0.0580202308782575 0.02754780076768 0.0461127126116861 0.064440390558112 0.0974988303754926 0
1112243 353.833366394043 -10.8849206187477 0.0315579318636364 44 0.6989627318 14.5478305817 0.1265974044 1.10818012519929 1.16761330471309 0.17 2 0.697154214965537 0.85516768259982 0.779416508380067 0.76305771603256 0.792272079452977 0.438406346365658 0
1113221 33.147445523002 -9.72992474692449 0.0531576327530612 49 0.701849956897959 15.2515621185 0.270925521899999 1.13595510647144 1.01963970278838 0.15 2 0.208425716936618 0.33646904584397 0.238861102273795 0.300369726907233 0.434115912984369 0.650001753960769 0
1114719 343.112887382512 -8.59301686286875 0.047462031121875 32 0.71141397953125 15.1362943649 0.107534408600001 1.47774127411754 1.4243900377847 0.01 2 0.125524226327784 0.245712091913712 0.182232072236872 0.278857883392008 0.411393744600389 0.0752352461465122 0
1114796 358.538933332577 -0.416673536388372 0.0437086049534884 43 0.714300599202326 14.8517045975 0.3070821762 0.899667234013508 1.0891758836049 0.7 2 0.52367197200694 0.515698122805662 0.391911893495668 0.304639836267041 0.255784010715512 0.338786152335092 0
1115771 46.1146761986532 0.707213837293548 0.0795246617435484 62 0.691685553517742 15.1649436951 0.6678667068 1.10697045306764 1.28579527769246 0.19 2 0.145072750013358 0.322131767120053 0.354988366009931 0.490807601551706 0.368658397045414 0.632780884872307 0
1119715 195.498516685084 30.4927265769605 0.120536157365789 38 0.671012276094737 15.2327013016 0.2618074417 1.69468055256952 1.60254780172292 0 2 0.934419211304935 0.838122452796213 0.918240776361195 0.891528903394023 0.543897764536887 0.841076559834538 0
11112527 31.5244228839875 13.134748077395 0.0899599256 40 0.696000504495 15.2933835983 0.744803428699999 1.17232550686868 1.17480540522287 0.16 2 0.747382279201472 0.679019781344323 0.652443860781987 0.67758779691996 0.553107259634659 0.663145672106677 0
