ngroup ra dec z mag color delta delta2 sw_gal sf_gal ad_gal cvm_gal lillie_gal pearson_gal Delta pval_ds ngal sw_cum sf_cum ad_cum cvm_cum lillie_cum pearson_cum col_cum mag_cum ind_cum
11131291 139.5290374756 14.1698188782 0.0772569999 17.292930603 0.773780822800003 0.86239804553796 1.16127945128626 0.363846233033133 0.295550069679839 0.308677954709468 0.275051529674417 0.244781430408596 0.361805027497532 1.22759742123158 0.07 69 0.00819561665202262 0.0233413577397617 0.0128638630832407 0.0298955220423931 0.134539271091837 0.345977014021409 0.714358758237681 15.4522790909 2
11131291 139.4703063965 14.1312589645 0.0749809965 17.6484375 0.7431507111 1.65089556011949 1.3945183263657 0.215005079852335 0.335577326821176 0.27904528060413 0.382093846865067 0.431501014838298 0.361805027497532 1.22759742123158 0.07 69 0.00819561665202262 0.0233413577397617 0.0128638630832407 0.0298955220423931 0.134539271091837 0.345977014021409 0.714358758237681 15.4522790909 2
11131291 139.4647521973 14.1840286255 0.0785920024 17.7161521912 0.756204605100002 1.35734201733637 1.03337310120023 0.238757495577268 0.248182615901885 0.139852760974332 0.0985118082609785 0.0334871253893833 0.0460117056892314 1.22759742123158 0.07 69 0.00819561665202262 0.0233413577397617 0.0128638630832407 0.0298955220423931 0.134539271091837 0.345977014021409 0.714358758237681 15.4522790909 2
11131291 139.4268035889 14.226026535 0.0788709968 17.769865036 0.742238998400001 0.663205502811432 0.458572089210532 0.879595742185582 0.815548157950263 0.706227008193552 0.603360023538283 0.642331586485279 0.078553159836798 1.22759742123158 0.07 69 0.00819561665202262 0.0233413577397617 0.0128638630832407 0.0298955220423931 0.134539271091837 0.345977014021409 0.714358758237681 15.4522790909 2
11131291 139.4443969727 14.1905603409 0.0775969997 17.6423969269 0.727096557600003 0.930497819873372 1.21523404920325 0.536493578930562 0.658078064625601 0.630483781569589 0.733406831737076 0.881708448061914 0.361805027497532 1.22759742123158 0.07 69 0.00819561665202262 0.0233413577397617 0.0128638630832407 0.0298955220423931 0.134539271091837 0.345977014021409 0.714358758237681 15.4522790909 2
11131291 139.4326629639 14.1855745316 0.075914003 17.520772934 0.7486763 0.897886363479355 0.573889353409649 0.606168351637801 0.760893361075502 0.658086666230715 0.656337336779731 0.748485490997055 0.361805027497532 1.22759742123158 0.07 69 0.00819561665202262 0.0233413577397617 0.0128638630832407 0.0298955220423931 0.134539271091837 0.345977014021409 0.714358758237681 15.4522790909 2
11131291 139.4969482422 14.2774782181 0.0767330006 16.9355163574 0.752695083599999 1.0754400148624 0.813306194535219 0.526900405163681 0.64465416271576 0.455949978355732 0.397503100216044 0.207735591937627 0.078553159836798 1.22759742123158 0.07 69 0.00819561665202262 0.0233413577397617 0.0128638630832407 0.0298955220423931 0.134539271091837 0.345977014021409 0.714358758237681 15.4522790909 2
11131291 139.4093933105 14.1639175415 0.0763880014 17.6761283875 0.7477455139 0.645687329510623 0.690729326467039 0.0713931085118349 0.0712595075925991 0.057521585143166 0.0631177126194638 0.0585664139876525 0.361805027497532 1.22759742123158 0.07 69 0.00819561665202262 0.0233413577397617 0.0128638630832407 0.0298955220423931 0.134539271091837 0.345977014021409 0.714358758237681 15.4522790909 2
11131291 139.4797058105 14.1541185379 0.0763909966 17.7599544525 0.732425689699998 0.993717498397604 0.814444083265465 0.0301407874950883 0.0410721332845538 0.0225113538109453 0.0198773460171055 0.0463420041456186 0.132778358022231 1.22759742123158 0.07 69 0.00819561665202262 0.0233413577397617 0.0128638630832407 0.0298955220423931 0.134539271091837 0.345977014021409 0.714358758237681 15.4522790909 2
11131291 139.3594970703 14.2248802185 0.0778599977 17.5273361206 0.7171573639 0.658190345497124 0.324739666200913 0.468954305597539 0.378611285765946 0.316506289167145 0.306117924102078 0.342522845606894 0.361805027497532 1.22759742123158 0.07 69 0.00819561665202262 0.0233413577397617 0.0128638630832407 0.0298955220423931 0.134539271091837 0.345977014021409 0.714358758237681 15.4522790909 2
